epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.05104,0.61095,0.75,1,0.47577,0.00041675,0.00041675,0.00041675
2,5.74632,0.50948,1,1,0.1838,0.000956372,0.000956372,0.000956372
3,8.06824,0.32868,1,1,0.1838,0.00147766,0.00147766,0.00147766
4,10.4418,0.29196,1,1,0.01947,0.00158448,0.00158448,0.00158448
5,12.3517,0.27465,1,1,0.01947,0.00155698,0.00155698,0.00155698
6,14.6288,0.24813,1,1,0.0038,0.00152947,0.00152947,0.00152947
7,16.9881,0.26675,1,1,0.00194,0.00150197,0.00150197,0.00150197
8,18.9375,0.26382,1,1,0.00194,0.00147446,0.00147446,0.00147446
9,21.1668,0.11812,1,1,0.00634,0.00144696,0.00144696,0.00144696
10,22.9826,0.63069,1,1,0.00634,0.00141945,0.00141945,0.00141945
11,25.5553,0.20468,1,1,0.02305,0.00139195,0.00139195,0.00139195
12,28.3421,0.13081,1,1,0.02305,0.00136444,0.00136444,0.00136444
13,31.4187,0.20827,1,1,0.03646,0.00133693,0.00133693,0.00133693
14,33.7602,0.11438,1,1,0.02185,0.00130943,0.00130943,0.00130943
15,35.9843,0.05444,1,1,0.02185,0.00128192,0.00128192,0.00128192
16,38.1487,0.07927,1,1,0.00528,0.00125442,0.00125442,0.00125442
17,40.3895,0.16064,1,1,0.00528,0.00122691,0.00122691,0.00122691
18,42.4487,0.05336,1,1,0.00082,0.00119941,0.00119941,0.00119941
19,44.4657,0.15183,1,1,0.00082,0.0011719,0.0011719,0.0011719
20,46.3413,0.06318,1,1,0.00024,0.0011444,0.0011444,0.0011444
21,48.3996,0.01551,1,1,8e-05,0.00111689,0.00111689,0.00111689
22,51.0381,0.03558,1,1,8e-05,0.00108938,0.00108938,0.00108938
23,52.8676,0.07281,1,1,5e-05,0.00106188,0.00106188,0.00106188
24,55.0663,0.06761,1,1,5e-05,0.00103437,0.00103437,0.00103437
25,57.19,0.05189,1,1,3e-05,0.00100687,0.00100687,0.00100687
26,59.9167,0.04275,1,1,3e-05,0.000979362,0.000979362,0.000979362
27,63.2411,0.01927,1,1,5e-05,0.000951857,0.000951857,0.000951857
28,66.0142,0.01609,1,1,7e-05,0.000924352,0.000924352,0.000924352
29,68.0346,0.19908,1,1,7e-05,0.000896846,0.000896846,0.000896846
30,70.2976,0.0044,1,1,0.00016,0.00086934,0.00086934,0.00086934
31,72.2894,0.00849,1,1,0.00016,0.000841835,0.000841835,0.000841835
32,74.0576,0.05524,1,1,0.00023,0.000814329,0.000814329,0.000814329
33,76.1658,0.01433,1,1,0.00023,0.000786824,0.000786824,0.000786824
34,78.0907,0.02843,1,1,6e-05,0.000759318,0.000759318,0.000759318
35,79.8235,0.00577,1,1,0.00015,0.000731813,0.000731813,0.000731813
36,81.4668,0.00741,1,1,0.00015,0.000704307,0.000704307,0.000704307
37,83.1503,0.02647,1,1,0.00019,0.000676802,0.000676802,0.000676802
38,85.2382,0.00753,1,1,0.00019,0.000649297,0.000649297,0.000649297
39,87.0388,0.02924,1,1,0.00027,0.000621791,0.000621791,0.000621791
40,88.7598,0.00308,1,1,0.00027,0.000594286,0.000594286,0.000594286
41,91.2181,0.00329,1,1,0.00017,0.00056678,0.00056678,0.00056678
42,93.9579,0.02454,1,1,0.00022,0.000539275,0.000539275,0.000539275
43,96.1246,0.00533,1,1,0.00022,0.000511769,0.000511769,0.000511769
44,98.0303,0.12231,1,1,0.0002,0.000484263,0.000484263,0.000484263
45,100.039,0.01712,1,1,0.0002,0.000456758,0.000456758,0.000456758
46,101.523,0.00557,1,1,0.00027,0.000429253,0.000429253,0.000429253
47,103.184,0.00934,1,1,0.00027,0.000401747,0.000401747,0.000401747
48,105.236,0.00461,1,1,0.00031,0.000374242,0.000374242,0.000374242
49,106.919,0.00554,1,1,0.00027,0.000346736,0.000346736,0.000346736
50,108.312,0.00431,1,1,0.00027,0.000319231,0.000319231,0.000319231
51,110.109,0.02805,1,1,0.00027,0.000291725,0.000291725,0.000291725
52,111.861,0.7629,1,1,0.00027,0.00026422,0.00026422,0.00026422
53,113.423,0.0057,1,1,0.00034,0.000236714,0.000236714,0.000236714
54,115.267,0.12582,1,1,0.00034,0.000209209,0.000209209,0.000209209
55,117.115,0.04106,1,1,0.00028,0.000181703,0.000181703,0.000181703
56,119.202,0.01252,1,1,0.00022,0.000154198,0.000154198,0.000154198
57,121.306,0.00859,1,1,0.00022,0.000126692,0.000126692,0.000126692
58,123.751,0.42355,1,1,0.0002,9.91865e-05,9.91865e-05,9.91865e-05
59,125.894,0.0054,1,1,0.0002,7.1681e-05,7.1681e-05,7.1681e-05
60,128.339,0.02208,1,1,0.00026,4.41755e-05,4.41755e-05,4.41755e-05
